scan,dataset,type
100,MITDB,test
101,MITDB,test
102,MITDB,training
103,MITDB,test
104,MITDB,training
105,MITDB,test
106,MITDB,test
107,MITDB,test
108,MITDB,training
109,MITDB,test
111,MITDB,test
112,MITDB,test
113,MITDB,test
114,MITDB,test
115,MITDB,test
116,MITDB,test
117,MITDB,test
118,MITDB,test
119,MITDB,test
121,MITDB,test
122,MITDB,test
123,MITDB,test
124,MITDB,test
200,MITDB,training
201,MITDB,test
202,MITDB,test
203,MITDB,training
205,MITDB,test
207,MITDB,training
208,MITDB,test
209,MITDB,test
210,MITDB,test
212,MITDB,test
213,MITDB,test
214,MITDB,test
215,MITDB,test
217,MITDB,test
219,MITDB,test
220,MITDB,test
221,MITDB,test
222,MITDB,test
223,MITDB,test
228,MITDB,test
230,MITDB,test
231,MITDB,test
232,MITDB,training
233,MITDB,test
234,MITDB,test
