scan,MRI_Type,dataset,type
hillcrestmr_1005202212_55_05_877,1.5T,UCSD,training
hillcrestmr_1005202213_03_25_79,1.5T,UCSD,training
hillcrestmr_1005202213_04_28_280,1.5T,UCSD,training
hillcrestmr_1005202213_05_25_880,1.5T,UCSD,training
hillcrestmr_1005202213_07_24_283,1.5T,UCSD,training
hillcrestmr_1005202213_08_10_680,1.5T,UCSD,training
hillcrestmr_1005202213_18_45_99,1.5T,UCSD,training
hillcrestmr_1229202212_52_45_931,1.5T,UCSD,training
hillcrestmr_1229202212_53_41_205,1.5T,UCSD,training
hillcrestmr_1229202212_55_38_278,1.5T,UCSD,training
hillcrestmr_1229202213_06_16_468,1.5T,UCSD,training
hillcrestmr_1229202213_07_14_72,1.5T,UCSD,training
hillcrestmr_1229202213_08_37_751,1.5T,UCSD,training
hillcrestmr_1229202213_11_37_372,1.5T,UCSD,training
hillcrestmr_1229202213_29_05_396,1.5T,UCSD,training
hillcrestmr_0103202313_46_05_99,1.5T,UCSD,test
hillcrestmr_0103202316_44_26_651,1.5T,UCSD,test
hillcrestmr_0124202315_09_13_486,1.5T,UCSD,test
hillcrestmr_0207202314_49_56_795,1.5T,UCSD,training
hillcrestmr_0207202314_52_01_7,1.5T,UCSD,training
hillcrestmr_0207202315_01_22_108,1.5T,UCSD,training
hillcrestmr_0207202315_02_06_654,1.5T,UCSD,training
hillcrestmr_0207202315_03_33_29,1.5T,UCSD,training
hillcrestmr_0207202315_04_46_627,1.5T,UCSD,training
hillcrestmr_0207202315_05_14_232,1.5T,UCSD,training
hillcrestmr_0207202315_23_15_413,1.5T,UCSD,training
hillcrestmr_0208202313_44_15_481,1.5T,UCSD,training
hillcrestmr_0208202313_45_27_797,1.5T,UCSD,training
hillcrestmr_0208202313_47_12_856,1.5T,UCSD,training
hillcrestmr_0208202313_56_04_527,1.5T,UCSD,training
hillcrestmr_0208202313_57_15_812,1.5T,UCSD,training
hillcrestmr_0208202313_59_18_804,1.5T,UCSD,training
hillcrestmr_0208202314_01_22_111,1.5T,UCSD,training
hillcrestmr_0208202314_37_29_623,1.5T,UCSD,training
hillcrestmr_0224202314_52_29_837,1.5T,UCSD,test
hillcrestmr_0309202310_07_43_311,1.5T,UCSD,test
hillcrestmr_0314202311_00_54_707,1.5T,UCSD,test
hillcrestmr_0327202309_59_14_606,1.5T,UCSD,test
hillcrestmr_0407202309_34_09_578,1.5T,UCSD,validation
hillcrestmr_0407202309_35_14_740,1.5T,UCSD,validation
hillcrestmr_0407202309_46_07_33,1.5T,UCSD,validation
hillcrestmr_0407202309_47_25_108,1.5T,UCSD,validation
hillcrestmr_0407202309_49_04_710,1.5T,UCSD,validation
hillcrestmr_0407202309_51_57_439,1.5T,UCSD,validation
hillcrestmr_0407202309_53_46_36,1.5T,UCSD,validation
hillcrestmr_0407202309_54_46_278,1.5T,UCSD,validation
hillcrestmr_0418202310_07_18_428,1.5T,UCSD,training
hillcrestmr_0418202310_08_09_5,1.5T,UCSD,training
hillcrestmr_0418202310_10_04_922,1.5T,UCSD,training
hillcrestmr_0418202310_11_13_727,1.5T,UCSD,training
hillcrestmr_0418202310_14_17_271,1.5T,UCSD,training
hillcrestmr_0418202310_25_44_232,1.5T,UCSD,training
hillcrestmr_0418202310_27_15_466,1.5T,UCSD,training
hillcrestmr_0418202310_28_19_340,1.5T,UCSD,training
kopmr1_0908202209_29_55_162,3T,UCSD,training
kopmr1_0908202209_33_55_563,3T,UCSD,training
kopmr1_0908202210_21_24_529,3T,UCSD,training
kopmr1_0908202210_21_52_986,3T,UCSD,training
kopmr1_0908202210_22_38_715,3T,UCSD,training
kopmr1_0908202210_23_39_542,3T,UCSD,training
kopmr1_0908202210_24_48_412,3T,UCSD,training
kopmr1_0908202210_25_19_293,3T,UCSD,training
